POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
58,tristan stubbs,116.5,12,0,3,23,11,7,0.0,0,DC
59,ravi bishnoi,115.5,10,9,67,0,2,4,0.0,0,LSG
60,avesh khan,115.0,10,10,64,3,1,2,0.0,0,LSG
61,shivam dube,114.5,12,0,0,20,17,2,0.0,0,CSK
62,shardul thakur,112.5,9,12,58,2,0,3,0.0,0,LSG
63,maheesh theekshana,112.0,11,11,72,0,0,0,1.5,0,RR
64,sanju samson,111.0,8,0,0,24,11,4,0.0,1,RR
65,shashank singh,110.0,12,0,3,20,12,6,0.0,0,PBKS
66,tim david,108.0,11,0,0,16,14,7,1.5,0,RCB
67,shimron hetmyer,106.5,13,0,0,16,10,12,1.5,0,RR
68,yash dayal,106.5,11,10,69,0,0,1,0.0,0,RCB
69,angkrish raghuvanshi,105.5,11,0,0,29,8,2,0.0,0,KKR
70,vaibhav suryavanshi,105.0,6,0,0,14,20,0,0.0,0,RR
71,n tilak varma,105.0,12,0,0,20,10,8,0.0,0,MI
72,nitish rana,104.0,11,0,0,27,9,2,0.0,0,RR
73,devdutt padikkal,104.0,10,0,0,21,14,1,0.0,0,RCB
74,rinku singh,103.0,12,0,0,20,9,8,1.5,0,KKR
75,mukesh kumar,102.5,10,9,66,0,0,2,0.0,0,DC
76,naman dhir,102.5,12,0,7,15,8,12,0.0,0,MI
77,wanindu hasaranga,98.5,10,10,57,0,0,2,1.5,0,RR
78,ms dhoni,98.0,12,0,0,12,11,5,4.5,5,CSK
79,mitchell santner,98.0,9,4,53,2,3,5,3.0,0,MI
80,jitesh sharma,97.5,11,0,0,13,7,14,3.0,1,RCB
81,suyash sharma,96.5,10,4,80,0,0,1,0.0,0,RCB
